recency,T,frequency,monetary
0,325,1,77183.6
365,367,182,23.681318681318682
282,358,31,57.97548387096774
0,18,73,24.076027397260273
0,310,17,19.670588235294115
260,296,85,29.482823529411764
0,204,4,22.25
0,232,58,18.610344827586207
0,214,13,35.33846153846154
302,325,59,47.65135593220339
0,33,131,47.38679389312977
149,150,19,61.47684210526315
274,331,245,25.755224489795918
148,200,129,20.63612403100775
0,287,10,18.990000000000002
292,295,266,19.647481203007516
132,242,23,24.0
104,112,85,15.448235294117646
0,291,22,29.153636363636362
0,4,11,15.354545454545455
309,360,166,21.33698795180723
14,59,63,29.96761904761905
224,296,52,24.962307692307693
0,311,14,26.042857142857144
0,25,33,22.513030303030305
87,98,17,26.91176470588235
39,354,77,21.144415584415583
0,129,219,18.30420091324201
88,170,40,21.306
164,185,104,26.200096153846154
115,119,87,21.21045977011494
167,352,99,18.69252525252525
92,121,27,21.676666666666666
29,366,10,40.19
311,326,100,27.8066
0,79,32,17.1825
0,21,93,4.72752688172043
260,332,64,24.728125000000002
153,217,27,47.12888888888889
351,371,156,19.350192307692307
99,135,126,19.126190476190477
0,45,85,19.24305882352941
142,261,59,18.790677966101697
0,303,5,16.86
0,323,11,20.509090909090908
0,49,5,85.53999999999999
0,148,54,31.67388888888889
161,183,105,32.52666666666667
214,264,77,22.183376623376624
227,260,105,27.51
103,182,109,101.58412844036697
0,308,26,26.666538461538458
94,169,61,20.112786885245903
270,337,38,19.95
93,310,18,31.244999999999997
313,337,714,174.95032212885152
354,357,192,19.005729166666665
0,112,34,19.664117647058823
0,63,29,20.70310344827586
303,319,45,17.93422222222222
229,324,39,20.604102564102565
352,353,125,14.87448
0,162,30,58.69866666666667
0,78,36,21.58888888888889
0,194,30,19.424333333333333
349,371,31,26.638709677419353
257,283,294,27.062789115646257
356,365,97,38.66391752577319
0,43,11,23.30909090909091
338,373,234,27.43568376068376
129,172,108,46.845555555555556
372,373,420,31.847309523809525
175,260,50,16.122799999999998
188,267,36,217.49694444444447
0,99,16,31.813125
329,331,199,24.88145728643216
125,140,98,29.66173469387755
0,366,11,15.77727272727273
0,3,12,14.338333333333333
149,171,176,28.440113636363638
0,22,4,33.35
0,57,57,17.584385964912283
0,243,26,18.326538461538462
0,44,22,20.429545454545455
164,187,191,21.294712041884818
17,173,8,24.735
313,324,354,25.524067796610172
0,16,22,19.571363636363635
0,134,43,16.443953488372095
0,56,15,235.22266666666667
223,296,90,27.409555555555556
210,254,125,25.44832
172,239,62,38.11661290322581
213,284,38,24.931578947368422
60,154,35,23.62514285714286
284,303,62,19.186935483870965
188,241,83,16.202168674698793
299,309,29,41.79482758620689
152,169,47,15.79127659574468
128,316,38,19.19842105263158
362,364,459,43.11252723311547
336,369,339,19.386755162241887
162,191,167,23.52125748502994
312,329,422,17.355663507109004
0,53,36,20.093888888888888
345,361,233,29.255021459227468
278,301,300,44.065799999999996
0,3,36,18.91638888888889
0,11,31,17.006451612903227
307,336,154,21.309285714285714
342,365,216,25.8325
322,339,75,33.133066666666664
303,336,343,13.199183673469387
65,75,55,23.612000000000002
0,336,15,22.328666666666667
324,329,245,22.114
0,38,26,17.70769230769231
42,105,20,13.160500000000003
31,197,22,19.715454545454545
349,365,77,16.183116883116885
0,81,14,74.50714285714285
36,57,23,17.55217391304348
310,333,61,69.80032786885245
0,336,149,14.559664429530201
214,309,147,25.332448979591835
12,30,9,53.5611111111111
0,232,23,3.1956521739130435
164,298,21,62.13380952380952
2,29,68,5.851176470588236
0,284,7,25.214285714285715
182,325,33,29.774848484848484
0,66,31,4.263870967741935
0,112,35,17.494
0,267,51,19.954509803921567
0,353,16,23.98125
102,180,26,50.46384615384615
161,190,279,8.894623655913978
109,110,124,16.58782258064516
0,63,17,19.461176470588235
194,273,152,17.330657894736845
0,142,38,15.781052631578946
12,51,12,16.06
312,331,106,16.884622641509434
324,333,144,31.150833333333335
93,94,71,18.54450704225352
243,325,18,19.37277777777778
303,312,92,21.01608695652174
277,336,66,25.186060606060607
0,14,17,7.365882352941177
0,30,16,21.864375000000003
0,130,63,17.28857142857143
94,186,34,21.069117647058825
15,59,261,48.282873563218395
0,29,21,17.33095238095238
311,333,273,20.396886446886448
342,361,478,28.03397489539749
251,280,52,18.868846153846153
0,36,19,19.61578947368421
184,259,50,20.0078
31,77,69,16.833333333333332
82,280,8,25.974999999999998
0,166,5,19.04
0,79,57,16.92684210526316
0,357,10,16.8
0,39,20,21.891
321,329,191,19.33130890052356
100,151,119,5.038319327731092
355,371,33,363.36242424242425
0,7,11,24.54181818181818
8,319,21,26.74809523809524
137,143,105,20.323904761904764
0,302,16,14.928125
190,198,168,22.510357142857146
0,261,21,21.757142857142856
0,288,9,16.21333333333333
0,86,19,18.507894736842104
346,369,446,21.079103139013455
250,252,188,21.939840425531912
81,121,34,15.28264705882353
43,51,60,17.006999999999998
0,227,28,5.733571428571429
0,315,11,19.85909090909091
268,304,88,14.952613636363635
323,359,146,4.291780821917809
308,330,114,24.51324561403509
0,78,29,15.18689655172414
0,246,24,17.320833333333333
0,39,15,13.180666666666667
49,288,22,23.243636363636366
370,373,247,29.47927125506073
276,280,96,24.355729166666666
117,351,87,23.44942528735632
0,17,11,17.903636363636366
0,7,4,36.0
0,39,10,21.49
115,144,35,18.47657142857143
0,211,68,145.06264705882353
0,317,26,17.41730769230769
